"id","visit","center","fca2c","fca2d","fca3c","fca3d","fca4c","fca4d","fca5c","fca5d","fca6c","fca6d","fca7c","fca7d","fca8c","fca8d","fca9c","fca9d","fca10c","fca10d","fca11c","fca11d","fca12c","fca12d","fca13c","fca13d","fca14c","fca14d","fca15","fca1b","fca2b","fca3b","fca4b","fca5b","fca6b","fca7b","fca8b","fca9b","fca10b","fca11b","fca12b","fca13b","fca14b","fca16"
"EA45275",8,"EA","MOM","B","BRO","B","GMA","B","OFA","B",,,,,,,,,,,,,,,,,,,"JRB",8,39,11,58,33,,,,,,,,,,8/15/1996
"EA45283",8,"EA","MOM","B","BRO","B","SIS","B",,,,,,,,,,,,,,,,,,,,,"DNG",7,28,12,6,,,,,,,,,,,7/15/1996
"EA45303",8,"EA","MOM","B","OMA","X","OFA","U","OMA","U",,,,,,,,,,,,,,,,,,,"MAK",8,31,34,36,35,,,,,,,,,,1/15/1998
"EA45311",8,"EA","MOM","B","AUN","B","GMA","B","UNC","U","CSM","U","CSF","B",,,,,,,,,,,,,,,"BEB",8,36,38,70,45,23,16,,,,,,,,4/15/1998
"EA45324",8,"EA","MOM","A","DAD","B",,,,,,,,,,,,,,,,,,,,,,,"CET",8,45,59,,,,,,,,,,,,7/15/1998
"EA45346",8,"EA","MOM","B","OMA","U",,,,,,,,,,,,,,,,,,,,,,,"KYR",8,32,47,,,,,,,,,,,,10/15/1998
"EA45352",8,"EA","MOM","A","OMC","U","OMC","U","OFA","U","OMC","U",,,,,,,,,,,,,,,,,"CET",8,68,5,6,42,13,,,,,,,,,3/15/1998
"EA45395",8,"EA","MOM","B","DAD","S","CSM","B","SIS","B","BRO","B","---","-","---","-","---","-","---","-","---","-","---","-","---","-","---","-","JGH",7,38,37,13,12,9,,,,,,,,,8/15/1998
"EA45400",8,"EA","MOM","B","BRO","B","BRO","B","OMA","X",,,,,,,,,,,,,,,,,,,"MPG",8,33,13,2,39,,,,,,,,,,2/15/1997
"EA45413",8,"EA","MOM","S","BRO","B",,,,,,,,,,,,,,,,,,,,,,,"KYR",8,22,2,,,,,,,,,,,,10/15/1998
"EA45437",8,"EA","MOM","B","SIS","B","BRO","B","BRO","B","BRO","B","SIS","B","---","-","---","-","---","-","---","-","---","-","---","-","---","-","MAK",8,32,10,9,14,4,1,,,,,,,,1/15/1999
"EA45454",8,"EA","MOM","B","GPA","B","GMA","B","SIS","B","SIS","B","CSM","B","===","=","===","=","===","=","===","=","===","=","===","=","===","=","TLT",8,38,,,,,,,,,,,,,2/15/1999
"EA45465",8,"EA","MOM","B","BRO","B","BRO","B",,,,,,,,,,,,,,,,,,,,,"BEB",8,36,10,6,,,,,,,,,,,2/15/1997
"EA45476",8,"EA","MOM","B","AUN","B",,,,,,,,,,,,,,,,,,,,,,,"CET",8,44,63,,,,,,,,,,,,7/15/1998
"EA45498",8,"EA","MOM","B","OMA","X","SIS","B","BRO","B",,,,,,,,,,,,,,,,,,,"BEB",8,27,27,4,7,,,,,,,,,,4/15/1998
"EA45506",8,"EA","MOM","B","OMA","U","BRO","B","SIS","B",,,,,,,,,,,,,,,,,,,"KRW",8,43,52,12,11,,,,,,,,,,2/15/1999
"EA45531",8,"EA","MOM","B","BRO","B","BRO","B","SIS","B","OMC","B","OMC","B","OMC","B","OFC","B","OMA","U",,,,,,,,,"KYR",8,43,14,11,26,10,8,4,5,41,,,,,6/15/1999
"EA45555",8,"EA","MOM","B","DAD","B","BRO","B","BRO","B","===","=","===","=","===","=","===","=","===","=","===","=","===","=","===","=","===","=","KYR",8,37,36,9,18,,,,,,,,,,9/15/1998
"EA45570",8,"EA","MOM","B","SIS","B","BRO","B","BRO","B",,,,,,,,,,,,,,,,,,,"CET",7,38,21,19,16,,,,,,,,,,10/15/1997
"EA45588",8,"EA","AUN","B","CSF","B",,,,,,,,,,,,,,,,,,,,,,,"CXM",7,36,19,,,,,,,,,,,,4/15/1999
"EA45592",8,"EA","MOM","F","OMA","U","BRO","B","BRO","B",,,,,,,,,,,,,,,,,,,"CET",8,67,40,11,9,,,,,,,,,,4/15/1998
"EA45628",8,"EA","MOM","B","SIS","B","BRO","B",,,,,,,,,,,,,,,,,,,,,"BEB",8,38,9,6,,,,,,,,,,,4/15/1998
"EA45630",8,"EA","MOM","B","SIS","B","BRO","B","DAD","B",,,,,,,,,,,,,,,,,,,"MAK",8,31,3,16,35,,,,,,,,,,5/15/1998
"EA45642",8,"EA","GMA","B","BRO","B","SIS","B",,,,,,,,,,,,,,,,,,,,,"BEB",8,46,6,10,,,,,,,,,,,3/15/1998
"EA45663",8,"EA","MOM","B","BRO","B","GMA","B",,,,,,,,,,,,,,,,,,,,,"BEB",8,32,12,66,,,,,,,,,,,2/15/1998
"EA45674",8,"EA","MOM","B","SIS","B","BRO","B","===","=","===","=","===","=","===","=","===","=","===","=","===","=","===","=","===","=","===","=","TLT",8,40,4,5,,,,,,,,,,,11/15/1998
"EA45689",8,"EA","GMA","B","UNC","B","UNC","B","===","=","===","=","===","=","===","=","===","=","===","=","===","=","===","=","===","=","===","=","KRW",8,46,33,20,,,,,,,,,,,6/15/1999
"EA45747",8,"EA","MOM","B","SIS","B","SIS","B","SIS","B","---","-","---","-","---","-","---","-","---","-","---","-","---","-","---","-","---","-","JGH",7,32,11,8,5,,,,,,,,,,8/15/1998
"EA45751",8,"EA","MOM","B",,,,,,,,,,,,,,,,,,,,,,,,,"KYR",7,49,,,,,,,,,,,,,9/15/1998
"EA45768",8,"EA","MOM","B","DAD","B","CSM","B","---","-","---","-","---","-","---","-","---","-","---","-","---","-","---","-","---","-","---","-","JGH",8,43,49,12,,,,,,,,,,,9/15/1998
"EA45804",8,"EA","GMA","B",,,,,,,,,,,,,,,,,,,,,,,,,"KYR",8,56,,,,,,,,,,,,,6/15/1998
"EA45812",8,"EA","AUN","B","===","=","===","=","===","=","---","-","---","-","---","-","---","-","---","-","---","-","---","-","---","-","---","-","MAK",8,37,,,,,,,,,,,,,7/15/1999
"EA45820",8,"EA","MOM","B","BRO","B",,,,,,,,,,,,,,,,,,,,,,,"KYR",8,32,14,,,,,,,,,,,,9/15/1999
"EA45845",8,"EA","AUN","B","GMA","B","SIS","B","BRO","B","AUN","B","---","-","---","-","---","-","---","-","---","-","---","-","---","-","---","-","AP",9,39,64,11,12,44,,,,,,,,,4/15/2000
"EA45866",8,"EA","MOM","B","GMA","B",,,,,,,,,,,,,,,,,,,,,,,"KYR",8,38,56,,,,,,,,,,,,8/15/1999
"EA45881",8,"EA","MOM","B","OMA","U",,,,,,,,,,,,,,,,,,,,,,,"KYR",8,31,33,,,,,,,,,,,,4/15/1999
"EA45899",8,"EA","AUN","B","GMA","B","OMA","U","CSF","B","CSM","B","OFC","U",,,,,,,,,,,,,,,"KYR",8,30,55,54,8,11,15,,,,,,,,4/15/1999
"EA45918",8,"EA","MOM","B","BRO","B","BRO","B","SIS","B","GMA","B","CSF","B","CSM","B","CSM","B","CSM","B",,,,,,,,,"KYR",8,36,15,9,2,57,21,5,4,2,,,,,2/15/1999
"EA45932",8,"EA","MOM","B","DAD","S","BRO","B","BRO","B","BRO","B","---","-","---","-","---","-","---","-","---","-","---","-","---","-","---","-","MAK",8,32,34,17,14,1,,,,,,,,,3/15/1999
"EA45987",8,"EA","GMA","B","BRO","B","BRO","B",,,,,,,,,,,,,,,,,,,,,"KYR",8,73,10,19,,,,,,,,,,,12/15/1999
"EA45993",8,"EA","MOM","B","OMA","U","SIS","B","---","-","---","-","---","-","---","-","---","-","---","-","---","-","---","-","---","-","---","-","KYR",7,30,32,6,,,,,,,,,,,9/15/1998
"MW00013",8,"MW","MOM","B","BRO","B","SIS","B",,,,,,,,,,,,,,,,,,,,,"EW",9,33,14,16,,,,,,,,,,,12/15/1999
"MW00136",8,"MW","DAD","B","MOM","B","BRO","B","SIS","B",,,,,,,,,,,,,,,,,,,"RRJ",8,35,35,10,9,,,,,,,,,,2/15/2003
"MW00148",8,"MW","MOM","B","SIS","B","BRO","B",,,,,,,,,,,,,,,,,,,,,"EW",8,42,13,11,,,,,,,,,,,6/15/2002
"MW00150",8,"MW","MOM","B","DAD","B","BRO","B",,,,,,,,,,,,,,,,,,,,,"EW",9,43,55,19,,,,,,,,,,,1/15/2001
"MW00169",8,"MW","MOM","B","GMA","B",,,,,,,,,,,,,,,,,,,,,,,"TW",8,38,55,,,,,,,,,,,,4/15/2002
"MW00175",8,"MW","MOM","B","BRO","B","SIS","B","GPA","B","GMA","B",,,,,,,,,,,,,,,,,"EW",10,27,4,1,68,64,,,,,,,,,6/15/2000
"MW00183",8,"MW","MOM","B","DAD","B","BRO","B","SIS","B","BRO","B",,,,,,,,,,,,,,,,,"CAK",8,30,30,5,10,11,,,,,,,,,12/15/1999
"MW00197",8,"MW","MOM","B","BRO","S","SIS","S","SIS","S",,,,,,,,,,,,,,,,,,,"LF",9,31,13,7,4,,,,,,,,,,5/15/2001
"MW00217",8,"MW","MOM","B","BRO","B",,,,,,,,,,,,,,,,,,,,,,,"FJN",8,30,4,,,,,,,,,,,,8/15/1999
"MW00225",8,"MW","MOM","B","DAD","S","SIS","B","BRO","B","SIS","B",,,,,,,,,,,,,,,,,"CAK",7,34,49,11,5,2,,,,,,,,,2/15/2000
"MW00233",8,"MW","MOM","B","DAD","B","SIS","B","BRO","B","BRO","B","BRO","B","BRO","B",,,,,,,,,,,,,"FJN",8,29,51,11,9,7,5,2,,,,,,,6/15/2000
"MW00258",8,"MW","MOM","B","SIS","B","BRO","B","UNC","B",,,,,,,,,,,,,,,,,,,"CJK",8,27,6,2,17,,,,,,,,,,10/15/1999
"MW00272",8,"MW","DAD","B","BRO","B","BRO","B",,,,,,,,,,,,,,,,,,,,,"FJN",8,41,14,10,,,,,,,,,,,6/15/2000
"MW00286",8,"MW","MOM","B","GMA","B","GPA","B","UNC","B","CSF","B","CSM","B",,,,,,,,,,,,,,,"EW",8,24,53,56,25,11,10,,,,,,,,6/15/2000
"MW00306",8,"MW","MOM","B","BRO","B","DAD","A","BRO","B","SIS","B",,,,,,,,,,,,,,,,,"RH",8,26,4,28,7,3,,,,,,,,,3/15/2000
"MW00319",8,"MW","MOM","B","OMA","X","BRO","B",,,,,,,,,,,,,,,,,,,,,"RRJ",8,28,31,5,,,,,,,,,,,9/15/2000
"MW00327",8,"MW","MOM","B","DAD","B","SIS","B","SIS","B",,,,,,,,,,,,,,,,,,,"CAK",8,25,27,4,7,,,,,,,,,,4/15/2000
"MW00331",8,"MW","MOM","B","DAD","B","SIS","B","SIS","B",,,,,,,,,,,,,,,,,,,"RRJ",8,40,42,18,15,,,,,,,,,,3/15/2000
"MW00355",8,"MW","MOM","B","DAD","B","BRO","B","BRO","B","AUN","B",,,,,,,,,,,,,,,,,"CAK",8,34,48,2,0,27,,,,,,,,,9/15/1999
"MW00364",8,"MW","MOM","B",,,,,,,,,,,,,,,,,,,,,,,,,"LF",8,38,,,,,,,,,,,,,10/15/2001
"MW00370",8,"MW","MOM","B","GMA","B","GPA","S","UNC","S","CSF","B",,,,,,,,,,,,,,,,,"TW",8,27,41,,15,15,,,,,,,,,5/15/2002
"MW00388",8,"MW","MOM","B","SIS","B","SIS","B",,,,,,,,,,,,,,,,,,,,,"RRJ",10,27,5,0,,,,,,,,,,,12/15/2001
"MW00392",8,"MW","MOM","B","BRO","B","DAD","S",,,,,,,,,,,,,,,,,,,,,"RH",8,33,0,35,,,,,,,,,,,3/15/2000
"MW00408",8,"MW","MOM","B","DAD","S",,,,,,,,,,,,,,,,,,,,,,,"LF",9,30,35,,,,,,,,,,,,5/15/2001
"MW00416",8,"MW","MOM","B","SIS","B","BRO","B","SIS","B",,,,,,,,,,,,,,,,,,,"CAK",8,25,7,5,4,,,,,,,,,,6/15/2000
"MW00429",8,"MW","MOM","B","DAD","B","GMA","B",,,,,,,,,,,,,,,,,,,,,"RH",8,33,36,,,,,,,,,,,,3/15/2000
"MW00434",8,"MW","MOM","B","DAD","B","SIS","B","SIS","B",,,,,,,,,,,,,,,,,,,"RRJ",9,31,28,11,5,,,,,,,,,,9/15/2001
"MW00441",8,"MW","MOM","B","DAD","B","SIS","B","SIS","B",,,,,,,,,,,,,,,,,,,"RRJ",8,32,39,4,12,,,,,,,,,,7/15/2000
"MW00457",8,"MW","MOM","B","SIS","B",,,,,,,,,,,,,,,,,,,,,,,"FJN",8,35,7,,,,,,,,,,,,10/15/2000
"MW00462",8,"MW","MOM","B","DAD","B","BRO","B",,,,,,,,,,,,,,,,,,,,,"FJN",9,35,38,4,,,,,,,,,,,8/15/2000
"MW00473",8,"MW","MOM","B","SIS","B","BRO","B","BRO","B",,,,,,,,,,,,,,,,,,,"FJN",8,28,8,5,0,,,,,,,,,,11/15/2000
"MW00485",8,"MW","MOM","B","SIS","B","BRO","B","BRO","B",,,,,,,,,,,,,,,,,,,"EW",8,28,8,5,0,,,,,,,,,,11/15/2000
"MW00503",8,"MW","MOM","B","DAD","B","SIS","B",,,,,,,,,,,,,,,,,,,,,"MSS",8,38,42,1,,,,,,,,,,,6/15/2002
"MW00511",8,"MW","MOM","B","GMA","B","SIS","B","AUN","B",,,,,,,,,,,,,,,,,,,"RRJ",7,35,54,12,13,,,,,,,,,,9/15/2002
"MW00524",8,"MW","MOM","B","SIS","B","BRO","B","SIS","B","DAD","S",,,,,,,,,,,,,,,,,"RRJ",8,33,9,11,13,41,,,,,,,,,7/15/2002
"MW00539",8,"MW","MOM","B","DAD","B","SIS","B",,,,,,,,,,,,,,,,,,,,,"CAK",8,24,26,5,,,,,,,,,,,10/15/1999
"MW00546",8,"MW","MOM","B","SIS","B","BRO","B","BRO","B","BRO","B","BRO","B","SIS","B","BRO","B","OMC","B","OFC","B","OFC","B","OFC","B","OMC","B","RRJ",8,43,28,27,20,17,14,11,9,11,8,7,6,4,7/15/2000
"MW00552",8,"MW","MOM","B","SIS","B","SIS","B","SIS","B","SIS","B","BRO","B",,,,,,,,,,,,,,,"RRJ",8,28,11,7,3,2,0,,,,,,,,5/15/2001
