"center","id","YNEA1","YNEA2","YNEA3","YNEA4","YNEA5","YNEA6","YNEA7","YNEA8","YNEA9","YNEA10","YNEA11","YNEA12","YNEA13","YNEA14","YNEA15","YNEA16","YNEA17","YNEA18","YNEA19","YNEA20","YNEA21","visit"
"SW","SW22897","0","0","0","3","0","2","2","0","0","0","0","0","3","0","1","0","1","0","1","2","3",18
"SW","SW22934","0","0","3","0","0","0","3","3","3","3","0","0","0","3","3","3","3","0","1","3","3",18
"SW","SW22962","3","3","3","3","1","1","3","3","3","3","1","0","0","3","3","3","3","1","3","3","2",18
"SW","SW22973","2","2","2","0","0","0","3","2","2","3","0","0","0","2","3","3","2","0","2","3","3",18
"SW","SW22990","1","1","2","1","1","1","2","1","2","2","0","2","0","2","2","2","2","0","1","2","2",18
"SW","SW23016","1","2","3","1","1","0","3","2","2","2","0","0","0","0","2","1","2","1","3","2","2",18
"SW","SW23029","3","3","3","0","0","0","3","3","3","3","0","0","0","3","3","3","3","0","3","3","3",18
"SW","SW23034","1","3","1","0","0","0","3","0","0","0","0","0","0","0","2","2","3","0","3","3","3",18
"SW","SW23041","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2",18
"SW","SW23062","2","2","2","1","0","0","3","2","1","1","0","0","0","2","2","3","2","2","2","2","3",18
"SW","SW23085","2","2","2","2","0","0","3","1","2","2","0","0","0","2","3","2","1","0","2","3","3",18
"SW","SW23090","3","2","2","1","0","0","3","3","3","3","0","0","0","2","3","3","3","0","3","3","3",18
"SW","SW23109","2","2","2","2","0","0","2","2","2","2","0","0","0","1","2","1","1","0","2","3","2",18
"SW","SW23125","1","1","2","2","0","0","2","1","2","2","0","0","0","2","2","2","2","2","2","2","2",18
"SW","SW23133","3","2","3","1","0","0","2","3","3","3","1","0","0","2","3","3","2","0","3","3","3",18
"SW","SW23140","3","2","3","0","0","0","2","2","3","3","0","0","0","3","3","0","0","0","3","3","2",18
"SW","SW23172","0","0","0","3","0","2","0","0","0","0","1","1","1","0","0","0","0","1","0","1","1",18
"SW","SW23194","2","1","1","1","0","1","2","1","1","1","1","1","1","2","2","2","1","1","1","2","3",18
"SW","SW23201","2","1","2","0","0","0","2","2","2","2","0","0","0","0","2","2","2","0","2","2","2",18
"SW","SW23303","2","2","2","1","0","0","2","2","2","2","0","0","0","0","2","2","2","0","2","3","3",18
"SW","SW23339","3","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",18
"SW","SW23346","1","2","1","1","0","1","1","1","1","0","0","0","0","0","2","2","0","0","1","0","1",18
"SW","SW23367","1","1","1","2","0","1","2","1","1","1","0","2","0","1","2","1","1","1","2","2","2",18
"SW","SW23400","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","0","0",18
"SW","SW23449","2","2","2","2","0","0","3","3","3","2","3","2","2","2","2","3","1","0","2","3","3",18
"SW","SW23454","2","3","3","1","0","0","3","3","3","3","0","0","0","3","3","3","3","0","3","3","3",18
"SW","SW23476","2","2","2","0","0","0","2","3","2","2","0","0","0","2","3","2","2","0","2","3","3",18
"SW","SW23482","1","1","1","1","0","0","0","0","0","2","0","0","0","0","1","2","1","1","0","1","1",18
"SW","SW23498","2","2","2","1","0","0","3","1","2","2","0","0","2","2","2","2","2","0","2","3","3",18
"SW","SW23519","2","2","3","0","0","1","3","3","3","3","0","0","1","3","3","2","3","0","2","3","2",18
"SW","SW23531","3","3","3","0","0","0","3","3","3","3","0","0","0","3","3","3","3","0","2","2","3",18
"SW","SW23543","1","2","2","2","1","1","2","2","2","2","1","1","0","2","2","3","2","1","2","0","3",18
"SW","SW23555","2","3","2","0","0","0","3","3","3","3","0","0","0","3","3","3","3","0","3","3","3",18
"SW","SW23564","2","1","1","2","0","0","2","1","1","1","0","0","0","0","2","3","1","0","2","3","2",18
"SW","SW23630","2","3","2","0","0","1","3","3","3","2","0","0","0","3","2","3","3","0","3","3","3",18
"SW","SW23642","2","2","2","1","0","0","2","1","2","2","0","0","0","1","2","2","2","0","2","0","2",18
"SW","SW23663","2","2","2","0","1","0","2","2","2","2","0","0","0","2","2","2","2","0","2","3","3",18
"SW","SW23689","2","3","2","1","0","0","3","2","2","2","0","0","0","3","2","2","2","0","1","2","3",18
"SW","SW23691","2","2","2","2","0","0","3","3","3","2","0","0","0","3","3","3","3","0","3","3","3",18
"SW","SW23702","2","2","2","0","0","0","3","2","2","2","0","0","0","2","3","3","2","0","3","3","3",18
"SW","SW23710","2","2","2","2","0","0","2","1","2","2","1","0","0","2","2","3","2","0","2","2","2",18
"SW","SW23747","2","3","3","1","0","0","3","3","2","3","0","0","1","1","3","3","2","1","2","2","2",18
"SW","SW23751","2","3","2","0","0","0","3","3","2","2","0","0","0","3","2","3","2","0","3","3","3",18
"SW","SW23768","2","2","2","0","0","0","3","2","2","2","0","0","0","2","3","3","2","0","3","3","3",18
"SW","SW23812","2","2","2","2","0","0","2","3","3","3","2","0","0","2","2","3","3","0","2","3","2",18
"SW","SW23838","1","1","3","1","1","1","2","1","2","2","1","1","1","1","2","2","1","1","2","3","2",18
"SW","SW23845","2","2","2","1","1","1","2","2","2","2","1","1","0","2","2","2","2","0","2","2","2",18
