"id","visit","center","kga1","kga2a","kga3a","kga4a","kga5","kga6","kga7","kga8","kga0","kga2","kga3","kga4","kga9"
"SO11407",8,"SO","WATCH TV, PLAY NINTENDO AND GO BIKE RIDING",,,,"THE WAY SHE DOES HER SCHOOLWORK","SHE'S BUILD LIKE HER MOMMA, BROAD SHOULDERS, BLUE EYES, BLOND HAIR","GETTING ALONG WITH OTHER CHILDREN","ABW",1,0,0,0,3/15/1995
"SO11415",8,"SO","WATCH TV, PLAY IN THE YARD, VISIT HER DADDY, PLAY NINTENDO",,,,"WELL-MANNERED AND RESPECTFUL, AND INTELLIGENT","SHE'S MINE, SHE HAS A HEART OF GOLD","SCHOOLWORK","ABW",1,0,0,0,3/15/1995
"SO11430",8,"SO","PLAY BALL - BASKETBALL",,,,"SCHOOL WORK - HAD A BEAUTIFUL REPORT CARD","HE'S SMART; HELPS OUT AROUND THE HOUSE AND LOOKS AFTER HIS BROTHER","CLEANING THE HOUSE","MCP",1,0,0,0,3/15/1995
"SO11442",8,"SO","PLAY, PLAY GAMES","POLICEMEN, FIREMEN, KARATE EXPERT",,,"BEING HIS OWN PERSON","TELLS THE TRUTH ABOUT THINGS","GAMES","MCP",1,1,0,0,3/15/1995
"SO11456",8,"SO","PLAYING WITH BARBIE DOLLS","GOING SHOPPING OR SETTING UP A GROCERY STORE",,,"VERY SMART, INDEPENDENT","REAL LOVING, THINKS SHE WILL BE OF BENEFIT TO A LOT OF PEOPLE","DRAWING AND READING","DMP",1,1,0,0,9/15/1995
"SO11463",8,"SO","PLAY OUTSIDE AND GO TO FRIEND'S HOUSE",,,,"HOW HE HELPS TAKE CARE OF HIS BABY BROTHER","THE WAY HE DOESN'T TALK BACK","SPELLING; HELPING PICK UP AROUND THE HOUSE","ABW",1,0,0,0,12/15/1994
"SO11474",8,"SO","GO TO A FRIEND'S HOUSE TO PLAY","SCHOOL",,,"JUST HER","THE WAY SHE IS. SHE'S JUST A SWEET LITTLE GIRL","SCHOOL - MATH","TBL",1,1,0,0,9/15/1995
"SO11489",8,"SO","PLAY AND WATCH CARTOONS","CONSTRUCTION WITH BOXES",,,"HE LIKES TO HELP","TAKES TIME FOR HIS BROTHER","TALKING","TBL",1,1,0,0,6/15/1995
"SO11491",8,"SO","RIDE BIKE, GO OUT TO EAT","PLAY SCHOOL",,,"SHE'S LOVING AND FRIENDLY","SHE'S OPEN, WILL TALK TO ME ABOUT EVERYTHING","DOING HER HOMEWORK; SHE'S A CHARMER","ABW",1,1,0,0,3/15/1995
"SO11504",8,"SO","READ, DANCE, COLOR, WATCH MOVIES, SKATE",,,,"GRADES","CANDIDNESS","MATH","TBL",1,0,0,0,9/15/1995
