"center","id","visit","WRAA1","WRAA3","WRAA4","AGE_MO","READ_AS","READ_STD","MATH_AS","MATH_STD","WRAB1","WRAB3"
"EA","EA45506",16,,,,,,,,,1,38
"EA","EA45527",12,1,20,15,144,466,54,461,,,
"EA","EA45527",16,,,,194,474,54,,,1,23
"EA","EA45531",12,1,30,25,143,489,80,492,72,,
"EA","EA45531",16,,,,206,501,76,,,1,34
"EA","EA45570",12,1,33,33,147,500,87,506,92,,
"EA","EA45588",12,1,22,33,144,473,59,506,92,,
"EA","EA45588",16,,,,192,480,60,,,1,26
"EA","EA45592",12,1,40,31,152,511,104,500,86,,
"EA","EA45607",12,1,22,38,150,473,59,514,106,,
"EA","EA45628",12,1,34,33,145,501,89,506,92,,
"EA","EA45628",16,,,,198,505,84,,,1,37
"EA","EA45630",12,1,39,37,146,509,102,513.3,103,,
"EA","EA45630",16,,,,,,,,,1,46
"EA","EA45642",16,,,,192,501,78,,,1,34
"EA","EA45663",12,1,32,26,158,497,80,493,68,,
"EA","EA45663",16,,,,200,501,78,,,1,34
"EA","EA45674",12,1,40,37,154,511,104,513.3,103,,
"EA","EA45674",16,,,,,,,,,1,42
"EA","EA45689",12,1,20,25,146,466,54,492,69,,
"EA","EA45689",16,,,,191,473,53,,,1,22
"EA","EA45735",12,1,44,37,158,517.7,108,513.3,97,,
"EA","EA45747",12,1,28,31,145,483,74,500,86,,
"EA","EA45751",12,1,45,28,162,520,110,495,73,,
"EA","EA45751",16,,,,201,527,108,,,1,48
"EA","EA45768",12,1,24,31,151,475,64,500,86,,
"EA","EA45804",12,1,23,31,151,474,62,500,86,,
"EA","EA45812",12,1,47,30,145,524,122,499,83,,
"EA","EA45812",16,,,,203,517.7,99,,,1,44
"EA","EA45845",12,1,43,34,154,515,112,508,94,,
"EA","EA45866",12,1,32,34,145,497,84,508,94,,
"EA","EA45866",16,,,,196,512,93,,,1,41
"EA","EA45881",12,1,39,36,151,509,102,511,100,,
"EA","EA45899",12,1,44,35,156,517.7,108,509,92,,
"EA","EA45899",16,,,,199,534,118,,,1,53
"EA","EA45918",12,1,27,28,146,482,72,495,78,,
"EA","EA45918",16,,,,190,489,71,,,1,30
"EA","EA45932",12,1,37,30,147,505,97,499,83,,
"EA","EA45987",12,1,28,26,150,483,74,493,72,,
"EA","EA45993",12,1,33,20,154,500,87,477,56,,
"MW","MW00013",12,1,29,31,157,486,72,500,81,,
"MW","MW00136",12,1,38,31,143,506,100,500,90,,
"MW","MW00136",16,,,,192,512,93,,,1,41
"MW","MW00150",12,1,37,35,154,505,97,509,97,,
"MW","MW00169",12,1,38,38,144,506,99,514,106,,
"MW","MW00169",16,,,,191,506,89,,,1,38
"MW","MW00175",12,1,43,39,158,515,106,515,102,,
"MW","MW00175",16,,,,193,520,101,,,1,45
"MW","MW00183",16,,,,191,522,106,,,1,46
"MW","MW00197",12,1,32,34,148,497,84,508,94,,
"MW","MW00217",12,1,44,35,159,517.7,108,509,92,,
"MW","MW00217",16,,,,200,512,93,,,1,41
"MW","MW00258",12,1,27,32,144,482,72,502,89,,
"MW","MW00258",16,,,,190,486,68,,,1,29
