"center","id","SSQC11","visit","SSQC1","SSQC2","SSQC3","SSQC4","SSQC5","SSQC6","SSQC7","SSQC8","SSQC9","SSQC10","SSQC12"
"NW","NW32943","MQA",16,4,3,5,5,4,4,4,4,3,3,5/15/2008
"NW","NW32955","MQA",16,4,4,5,5,5,5,5,4,4,4,5/15/2008
"NW","NW32964","MQA",16,5,4,5,5,5,4,5,5,5,5,6/15/2008
"NW","NW32988","SV",16,5,5,5,5,5,5,5,4,4,,3/15/2008
"NW","NW33006","MQA",16,2,1,4,5,2,3,4,4,4,4,8/15/2008
"NW","NW33019","MQA",16,5,5,3,5,5,3,5,3,5,3,8/15/2006
"NW","NW33027","MQA",16,3,3,2,2,3,3,3,3,5,3,12/15/2007
"NW","NW33031","MQA",16,4,4,4,4,4,4,4,3,4,4,6/15/2007
"NW","NW33043","MQA",16,3,3,3,4,4,4,4,4,4,4,8/15/2007
"NW","NW33055","AAN",16,5,5,4,5,5,5,5,5,5,5,10/15/2006
"NW","NW33064","MQA",16,4,4,5,5,5,5,4,3,5,5,2/15/2007
"NW","NW33070","MQA",16,3,4,3,4,3,4,2,2,4,2,11/15/2007
"NW","NW33088","MQA",16,4,5,4,5,5,5,5,5,5,5,9/15/2006
"NW","NW33092","MQA",16,5,4,3,5,5,5,5,5,5,5,8/15/2007
"NW","NW33107","AAN",16,5,5,4,5,5,4,5,5,5,5,6/15/2006
"NW","NW33128","MQA",16,5,4,5,5,5,5,4,5,5,5,5/15/2008
"NW","NW33130","MQA",16,4,4,1,5,5,4,5,5,2,5,2/15/2008
"NW","NW33451","MQA",16,3,4,1,4,5,5,5,3,3,2,2/15/2008
"NW","NW33468","MQA",16,5,4,4,5,4,4,4,4,3,4,2/15/2008
"NW","NW34489","MQA",16,5,3,1,5,3,3,3,2,3,1,11/15/2007
"NW","NW34504","AAN",16,1,1,4,2,1,3,1,2,1,1,7/15/2006
"SO","SO10034","DJL",16,4,4,4,4,5,4,5,5,5,5,4/15/2003
"SO","SO10041","DJL",16,3,3,3,3,3,3,3,3,3,3,4/15/2003
"SO","SO10158","ABW",16,4,5,4,4,4,4,5,5,3,3,7/15/2003
