EA43833EA6 4 01                             0C                            N3                              233355533335333333535335519NFM15-Apr-1994
EA43840EA6 1 02                             1E                            N3                              114555555554515552155111298NLG15-Jul-1996
EA43861EA6 4 01                             0B                            H2                              112212121111151111154112599SMB15-Dec-1996
EA43886EA6 3 32                             0C                            N2                              155355555331355355355331117BAR15-Jul-1994
EA43900EA625 01                             1C                            N2                              144555534333233133533222519JRB15-Aug-1995
EA43913EA611 01                             0C                            N2                              124455555332444341511113111NG 15-Jan-1995
EA43921EA6 3 01                             0C                            N1                              444445555551515551155111189ADS15-Mar-1995
EA43937EA6 2 01                             1E                            G2                              113435315115151114332333556MOC15-Aug-1995
EA43965EA6 2 61                             0B                            H2                              131253415111151115443335526BEB15-Oct-1996
EA43976EA6 0 51                             0B                            H2                              111453133311353345333111599MMT15-Oct-1996
EA43982EA6 1 61                             0C                            N2                              133555533335151113513335519BST15-May-1995
EA43998EA632 01                             0C                            N3                              555555555551535553353111381ADS15-Jun-1995
EA44009EA6 2 01                             0C                            G2                              142224524411151115511153526JRB15-Nov-1995
EA44017EA632 01                             0C                            N2                              151315125111151113521354516DNG15-May-1995
EA44025EA6 4 01                             0C                            N3                              135555555555525553255111199CET15-Oct-1996
EA44033EA621 01                             0C                            N2                              3344255553513434414421412 1DNG15-Jul-1996
EA44040EA642 01                             1C                            N2                              232413323222351332444333416BEB15-Apr-1996
EA44058EA6 0 31                             0C                            N2                              253555535555511553155211348ADS15-Aug-1994
EA44072EA6 0 51                             1C                            N2                              111143111111143224333332599JRB15-Jul-1996
EA44086EA6 3 61                             0B                            N2                              333355444351352233534224548FDP15-Apr-1996
EA44094EA6 3 01                             0C                            G2                              111153211141251115532113516DNG15-Jun-1996
EA44126EA6 0 51                             1A                            G2                              143355555333341334433321388JRB15-Feb-1996
EA44144EA634 01                             0C                            N2                              113355444332311433 55331157DNG15-Jan-1996
EA44159EA6 1 62                             1E                            N2                              14 154535331323444155112469MOC15-Aug-1995
EA44160EA631 01                             1C                            G2                              125555555555351133555113511JRB15-Feb-1996
EA44171EA6 6 01                             1C                            N1                              533535555333333333333333311JRB15-Jun-1996
EA44187EA6 0 22                             0B                            N2                              333345445542455441355111381MMT15-Dec-1996
EA44213EA6 1 02                             1E                            N2                              135555555555525551144221291JRB15-Aug-1995
EA44221EA6 0 41                             1C                            N2                              112312214111151114511135512JRB15-Jul-1996
EA44237EA6 5 01                             0C                            N2                              153515535151151135513555111CET15-Apr-1997
EA44249EA619 01                             0C                             2                              444444553343324333243112481JAS15-Jun-1997
EA44254EA6 2 01                             0C                            N2                              155555555555551111542115516CET15-Jan-1997
EA44265EA6 1 61                             1B                            G2                              111452445341555443344444199DNG15-Jun-1995
EA44298EA6 5 01                             0C                            G2                              131314111344555553255121598CET15-Jan-1997
EA44302EA6 0112                             0B                            N2                              113455211211455551155111599CET15-Aug-1997
EA44310EA6 1 81                             1C                            N2                              153332113133153333333333312JRB15-Sep-1995
EA44347EA6 1 41                             0C                            N2                              114415435451431441155111548CET15-Feb-1997
EA44351EA6 2 02                             0B                            N2                              154525454222113213511345519JRB15-Mar-1996
EA44368EA6 2 01                             1E                            N2                              113311131111111111555111589FDP15-Mar-1996
EA44379EA6 0 41                             0C                            N2                                4455344332433343342332419DNG15-Dec-1995
EA44396EA617 01                             1E                            N1                              555555555455445443334222391JAS15-Nov-1996
EA44404EA6 5 41                             0C                             2                              353535555533353135353331339CET15-Nov-1996
EA44412EA6 1 61                             1E                            N1                              111144443331331333333111548JAS15-Oct-1996
EA44481EA6 1 22                             0C                            N2                              113355555441424341354111511BEB15-Dec-1996
EA44515EA6 3 01                             0C                            N1                              114455555443434453254222297JRB15-Aug-1996
EA45034EA625 01                             0C                            N1                              3333334444444213411 4111249DNG15-Dec-1995
EA45041EA6 0 11                             1C                            H2                              111515353  1 1  4555  1 549JRB15-Jan-1996
EA45057EA633 01                             0C                            G1                              343345555453351135533314411ADS15-Aug-1994
EA45073EA6 1 11                             0C                            G2                              214433444331344334333223519ADS15-Jan-1995
EA45085EA6 6 01                             1C                            H2                              253455445443344333244222347JRB15-Jun-1996
EA45133EA623 01                             0C                            G2                              121131335313511211334111198DNG15-Jul-1995
EA45158EA6 5 01                             0B                            N2                              354255155231351115511454512MOC15-Jun-1995
EA45186EA6 4 01                             0A                            G2                              233335113235353334432233362BST15-Jun-1995
EA45194EA625 01                             1C                            N1                              555545555455514533345433111LMM15-Aug-1994
EA45201EA6 0111                             1C                            N2                              111155513241555551155111518JRB15-Sep-1995
EA45214EA6 0 81                             0C                            N2                              113333111112151115533143518ADS15-Feb-1995
EA45248EA6 1 01                             0C                            G2                              151353211121152135531345519J B15-Mar-1996
