MW00807MW40   0   0   0   0   1RRJ15-Oct-1998
MW00828MW10   0   0   0   0   0KSM15-Sep-1992
MW00828MW40   0   0   0   130 0HLA15-Sep-1996
MW00830MW10   0   0   0   150 0KSM15-Oct-1992
MW00830MW40   0   0   0   0   0MWS15-Apr-1995
MW00856MW10   0   0   0   0   1KSM15-Sep-1992
MW00856MW40   0   0   0   0   1HLA15-Jul-1996
MW00863MW10   0   0   0   0   0KSM15-Sep-1992
MW00863MW40   0   0   0   0   2MWS15-Aug-1996
MW00874MW10   0   0   0   0   0KCK15-Feb-1995
MW00874MW40   0   0   0   0   0HLA15-May-1997
MW00889MW10   0   0   0   0   1KSM15-Oct-1992
MW00889MW40   0   0   0   0   1LJK15-Nov-1996
MW00891MW40   0   0   0   110 1RRJ15-Dec-1996
MW00902MW10   0   0   0   0   0AB 15-Feb-1995
MW00902MW40   0   0   0   130 2KS 15-Sep-1999
MW00923MW10   0   0   0   0   0KSM15-Sep-1992
MW00923MW40   0   0   0   0   1HLA15-May-1997
MW00947MW10   11100   0   0   1KSM15-Oct-1992
MW00947MW40   0   0   0   0   1HLA15-Jun-1997
MW00951MW10   0   0   0   0   0KSM15-Sep-1992
MW00951MW40   0   0   0   0   0EHS15-Nov-1996
MW00968MW10   110 0   0   0   0KSM15-Oct-1992
MW00968MW40   0   0   0   0   3HLA15-Jun-1997
MW00979MW10   0   0   0   0   0AB 15-Sep-1995
MW00979MW40   0   0   0   0   0KS 15-Sep-1999
MW01009MW10   0   0   0   0   0RRJ15-Feb-1995
MW01009MW40   0   0   0   0   0HLA15-Dec-1998
MW01017MW40   0   0   0   110 0HLA15-Mar-1997
MW01033MW10   0   0   0   0   1KSM15-Oct-1992
MW01033MW40   0   0   0   151 3RRJ15-Jul-1996
MW01040MW10   0   11100   0   5AB 15-May-1995
MW01040MW40   0   0   0   0   1HLA15-Sep-1998
MW01061MW10   0   0   0   0   0AB 15-Apr-1995
MW01061MW40   0   0   0   0   0MDA15-Jun-1998
MW01072MW10   0   0   0   0   0KSM15-Nov-1992
MW01072MW40   0   0   0   0   0LJK15-Feb-1997
MW01086MW10   0   0   0   0   1KSM15-Nov-1992
MW01086MW40   0   0   0   150 2RRJ15-Jan-1997
MW01094MW10   0   0   0   0   1KSM15-Nov-1992
MW01094MW40   0   0   0   0   1HLA15-Feb-1997
MW01105MW10   0   11110   0   1KSM15-Nov-1992
MW01105MW40   0   0   0   110 0MP 15-Jan-1997
MW01118MW40   0   0   0   0   1HLA15-May-1996
MW01126MW10   0   0   0   0   0AB 15-Feb-1995
MW01126MW40   0   0   0   0   0RRJ15-Jun-1998
MW01144MW10   0   0   0   0   0KSM15-Dec-1992
MW01144MW40   0   0   0   0   0HLA15-Aug-1996
MW01160MW10   0   0   0   0   0KSM15-Dec-1992
MW01171MW10   0   0   0   0   0KSM15-Dec-1992
MW01171MW40   0   0   0   0   0HLA15-Jan-1996
MW01187MW10   0   0   0   0   0KSM15-Dec-1992
MW01187MW40   0   0   0   0   0RRJ15-Nov-1996
MW01193MW10   0   0   0   0   0KSM15-Dec-1992
MW01193MW40   110 0   0   0   0HLA15-Sep-1996
MW01200MW10   110 0   0   110 0KSM15-Dec-1992
MW01200MW40   0   0   0   0   0AB 15-Aug-1995
MW01249MW10   0   0   0   0   1KSM15-Feb-1993
MW01254MW10   0   0   0   110 0KSM15-Jan-1993
MW01254MW40   0   0   0   0   1HLA15-Feb-1996
MW01276MW10   0   110 0   110 0KSM15-Mar-1993
MW01276MW40   0   0   0   0   0TMS15-Jul-1996
MW01282MW10   0   0   0   0   0KSM15-Feb-1993
MW01282MW40   11100   0   0   0JBH15-Mar-1998
MW01302MW10   0   0   0   0   0KSM15-Feb-1993
MW01302MW40   0   0   0   0   1LJK15-Jul-1996
MW01323MW10   0   0   0   0   0KSM15-Feb-1993
MW01323MW40   0   0   0   110 0LJK15-Dec-1996
MW01335MW10   0   0   0   0   8KSM15-Jan-1993
MW01335MW40   0   0   0   0   0LJK15-Jun-1996
MW01347MW10   0   11110   0   1KSM15-Mar-1993
MW01347MW40   0   0   0   0  11RRJ15-Mar-1997
MW01351MW10   0   0   0   0   1KSM15-Feb-1993
MW01368MW10   0   0   0   0   0KSM15-Feb-1993
MW01396MW10   0   11110   0   1KSM15-Mar-1993
MW01396MW40   0   0   0   0   0RRJ15-Jul-1996
MW01404MW10   0   0   0   0   0KSM15-Feb-1993
MW01404MW40   0   0   0   0   0HLA15-Jan-1998
MW01412MW10   0   0   0   110 0KSM15-Mar-1993
MW01412MW40   110 0   0   0   1HLA15-Jul-1996
MW01420MW10   0   0   0   0   0KSM15-Mar-1993
MW01420MW40   0   0   0   0   0HLA15-Oct-1996
MW01438MW10   0   0   0   0   0KSM15-Mar-1993
MW01453MW10   0   0   0   0   0KSM15-Mar-1993
MW01453MW40   0   0   0   110 1HLA15-Mar-1996
MW01466MW10   0   11100   0   0KSM15-Mar-1993
MW01466MW40   0   0   0   0   0RRJ15-Mar-1997
MW01481MW10   0   0   0   0   1KSM15-Apr-1993
MW01499MW10   0   0   0   0   3KSM15-Mar-1993
MW01499MW40   0   0   0   0   7HLA15-May-1996
MW01515MW10   0   0   0   130 0AB 15-Nov-1993
MW01515MW40   0   0   0   0   1HLA15-Jun-1996
MW01528MW10   0   0   0   0   1KSM15-Jun-1993
MW01528MW40   0   0   0   0   0RRJ15-Apr-1997
MW01530MW10   0   0   0   0   2KSM15-May-1993
MW01542MW10   0   0   0   0   0KSM15-Apr-1993
MW01542MW40   0   0   0   0   1HLA15-May-1997
MW01556MW10   0   0   0   0   0KSM15-Apr-1993
MW01556MW40   0   0   0   0   0LJK15-Nov-1996
MW01574MW10   0   0   0   0   1KSM15-May-1993
MW01574MW40   0   0   0   0   2HLA15-Feb-1997
MW01589MW10   0   0   0   0   1KSM15-May-1993
MW01589MW40   0   0   0   0   1HLA15-Feb-1997
MW01591MW40   0   0   0   0   1HLA15-Jan-1998
MW01608MW10   0   0   0   0   0KSM15-Apr-1993
MW01608MW40   0   0   0   0   0LJK15-Jan-1997
MW01629MW10   0   0   0   110 0KSM15-May-1993
MW01629MW40   0   0   0   110 0TMS15-Jul-1996
MW01634MW10   0   0   0   0   0HLA15-Nov-1995
MW01634MW40   0   0   0   110 0HLA15-Oct-1998
MW01657MW10   0   0   0   0   0KSM15-Apr-1993
MW01657MW40   0   0   0   0   0RRJ15-Dec-1996
MW01673MW10   0   0   0   11012KSM15-May-1993
MW01673MW40   0   0   0   0  12JMS15-Aug-1995
MW01685MW10   0   0   0   0   0KSM15-May-1993
MW01685MW40   110 0   0   110 0HLA15-Apr-1996
MW01690MW10   0   0   0   0   0KSM15-May-1993
MW01690MW40   0   0   0   0   1AB 15-Jun-1996
MW01701MW40   0   110 0   0   0LJK15-Jan-1997
MW01714MW10   0   0   0   0   0KSM15-Jul-1993
MW01714MW40   0   0   0   0   0RRJ15-May-1998
MW01722MW10   0   0   0   0   0KSM15-Jun-1993
MW01722MW40   0   0   0   0   2MM 15-Apr-1997
MW01736MW10   0   0   0   0   0AB 15-Sep-1995
MW01736MW40   0   0   0   0   0RRJ15-Dec-1998
MW01748MW10   0   0   0   0   0KSM15-May-1993
MW01750MW10   0   0   0   0   0AB 15-Sep-1995
MW01750MW40   0   0   0   0   0KS 15-Jan-2000
MW01769MW10   0   0   0   0   1KSM15-Jun-1993
MW01775MW10   0   0   0   111 1KSM15-Jun-1993
MW01775MW40   0   0   0   150 2AB 15-Jun-1996
MW01797MW10   0   0   0   0   0KSM15-Jun-1993
MW01797MW40   111013100   11120MDA15-Apr-1997
MW01803MW40   0   0   0   0   2HLA15-Jun-1997
MW01811MW10   0   0   0   0   2KSM15-Jun-1993
MW01811MW40   14100   0   0  40EHS15-Oct-1996
MW01824MW10   0   0   0   0   0KSM15-Jun-1993
MW01824MW40   0   11110   0   0JBG15-Jul-1998
MW01839MW10   0   0   0   0   0KSM15-Jun-1993
MW01839MW40   0   0   0   0   0TMS15-Jul-1996
MW01846MW10   0   0   0   0   0KSM15-Jul-1993
MW01846MW40   0   0   0   0   0MP 15-Feb-1997
MW01852MW10   0   11100   0   0KSM15-Jun-1993
MW01852MW40   0   0   0   0   2RRJ15-May-1997
MW01867MW10   0   0   0   0   0AB 15-Apr-1995
MW01867MW40   0   0   0   0   0HLA15-Mar-1998
MW01895MW10   0   0   0   0   0KSM15-Jun-1993
MW01895MW40   0   0   0   0   0HLA15-May-1997
MW01906MW40   13100   0   0   0RRJ15-Dec-1996
MW01927MW10   0   11100   0   0KSM15-Jul-1993
MW01927MW40   0   0   0   0   1HLA15-Aug-1996
MW01943MW10   0   0   0   0   0KSM15-Jul-1993
MW01943MW40   0   0   0   0   0MRP15-Mar-1998
MW01955MW10   0   0   0   0   0KSM15-Jul-1993
MW01955MW40   0   0   0   0   0HLA15-Aug-1997
MW01970MW10   0   0   0   0   0KSM15-Aug-1993
